d_t,app,func,end_timestamp,duration,st_tsp,date,counter,wait_delay
2021-02-04 12:40:31.517477886,7958f89676bf3653f72cda8f38f6b3c0574dcae5169824a571b6996732dd1425,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391231.900477886,0.383,391231.51747788605,2021-02-04 12:40:31.517477886,81,16382
2021-02-04 12:40:52.405887054,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391252.406887054,0.001,391252.405887054,2021-02-04 12:40:52.405887054,82,20888
2021-02-04 12:40:59.528352903,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391259.529352903,0.001,391259.528352903,2021-02-04 12:40:59.528352903,83,7122
2021-02-04 12:41:10.506695074,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391270.512695074,0.006,391270.50669507403,2021-02-04 12:41:10.506695074,84,10978
2021-02-04 12:41:37.177303957,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391297.178303957,0.001,391297.177303957,2021-02-04 12:41:37.177303957,85,26671
2021-02-04 12:41:50.956030058,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391310.957030058,0.001,391310.95603005803,2021-02-04 12:41:50.956030058,86,13779
2021-02-04 12:42:00.022446939,68d84244f6a3c212c69884d292b01a04ade8573f6c7b7407e39e0c44fd8e659e,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391320.10044693906,0.078,391320.0224469391,2021-02-04 12:42:00.022446939,87,9066
2021-02-04 12:42:19.999482082,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391340.000482082,0.001,391339.999482082,2021-02-04 12:42:19.999482082,88,19977
2021-02-04 12:42:31.477394985,a594f92f84072b4cd031fe5283d1781a6e98f430696dec0a8e3b02eadb5fc0b8,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391351.478394985,0.001,391351.47739498504,2021-02-04 12:42:31.477394985,89,11478
2021-02-04 12:45:00.009450027,85479ef37b5dc75dd5aeca3bab499129b97a134dac5d740d2c68941de9d63031,155e47f8e7f751d0c845049456d01832013c61336a8cd85901330ac821a71534,391500.33745002706,0.328,391500.0094500271,2021-02-04 12:45:00.009450027,90,148532
