sno,Unnamed: 0,wait
759,7590,7380
760,7600,7604
761,7610,8140
762,7620,8485
763,7630,2775
764,7640,6200
765,7650,7200
766,7660,2532
767,7670,4490
768,7680,5892
769,7690,7879
770,7700,7760
771,7710,8078
772,7720,8157
773,7730,8076
774,7740,7835
775,7750,7025
776,7760,8175
777,7770,8485
778,7780,8389
779,7790,8379
780,7800,7455
781,7810,7113
782,7820,8001
783,7830,8727
784,7840,8062
785,7850,7954
786,7860,7811
787,7870,8477
788,7880,8109
789,7890,7721
790,7900,5508
791,7910,7331
792,7920,7376
793,7930,7227
794,7940,7433
795,7950,8508
796,7960,7665
797,7970,5035
798,7980,2434
799,7990,2084
800,8000,6028
801,8010,7155
802,8020,7697
803,8030,7196
804,8040,7488
805,8050,7374
806,8060,7393
807,8070,7014
808,8080,7282
809,8090,8124
810,8100,7199
811,8110,7830
812,8120,8247
813,8130,8698
814,8140,8257
815,8150,7230
816,8160,7751
817,8170,7239
818,8180,7954
819,8190,8348
820,8200,8075
821,8210,1723
822,8220,6647
823,8230,7420
824,8240,8348
825,8250,8097
826,8260,7956
827,8270,8049
828,8280,7691
829,8290,8391
830,8300,7837
831,8310,8115
832,8320,8095
833,8330,7805
834,8340,7994
835,8350,8394
836,8360,8390
837,8370,8254
838,8380,7761
839,8390,2411
840,8400,8438
841,8410,7940
842,8420,7605
843,8430,7748
844,8440,7927
845,8450,8070
846,8460,8214
847,8470,7874
848,8480,8115
849,8490,8754
850,8500,7828
851,8510,7519
852,8520,4638
853,8530,1689
854,8540,3249
855,8550,4172
856,8560,7376
857,8570,4388
858,8580,2053
859,8590,5876
860,8600,1785
861,8610,4998
862,8620,2658
863,8630,4530
864,8640,2613
865,8650,2226
866,8660,3969
867,8670,1990
868,8680,5921
869,8690,1792
870,8700,2282
871,8710,5287
872,8720,7217
873,8730,1566
874,8740,2636
875,8750,2353
876,8760,3637
877,8770,6471
878,8780,4350
879,8790,2708
880,8800,6587
881,8810,2628
882,8820,2620
883,8830,2763
884,8840,6259
885,8850,2381
886,8860,2711
887,8870,5891
888,8880,2827
889,8890,3586
890,8900,6345
891,8910,3629
892,8920,4992
893,8930,2497
894,8940,3660
895,8950,4670
896,8960,1896
897,8970,3271
898,8980,3346
899,8990,3921
900,9000,3534
901,9010,5153
902,9020,5057
903,9030,2000
904,9040,3176
905,9050,3446
906,9060,2593
907,9070,3109
908,9080,3216
909,9090,2079
910,9100,4774
911,9110,4129
912,9120,3144
913,9130,5678
914,9140,1895
915,9150,2324
916,9160,2793
917,9170,4185
918,9180,5985
919,9190,5238
920,9200,7171
921,9210,7709
922,9220,7958
923,9230,7644
924,9240,7625
925,9250,3186
926,9260,5722
927,9270,6831
928,9280,6487
929,9290,7851
